Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
adornos-by-bosco-la-casita;ADORNOS BY BOSCO LA CASITA;Bazar, Navidad > Adornos BY  > Bosco La Casita;;;;;;;116,890.00;;0.00;0.00;0.00;0.00;;;SI;NO;;;;;SI;;;;
adornos-by-angie-lookea;ADORNOS BY ANGIE LOOKEA;Navidad > Adornos BY  > Angie Lookea;;;;;;;107,480.00;;0.00;0.00;0.00;0.00;;;SI;NO;;;;;SI;;;;
dca012do;CANDELABRO LIRA;Decoracion > Objetos, Decoracion > Candelabros;;;;;;;6,390.00;5,290.00;0.20;5.00;5.00;5.00;DCA012DO;DCA012DO;SI;NO;DCA012;;;;SI;;;;
bte098bl;PACK X25 SERVILLETAS WELCOME;Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;2,990.00;;0.20;5.00;5.00;5.00;BTE098BL;BTE098BL;NO;NO;BTE098;;;;SI;;;;
bte114cd;MEDIA NAVIDEÑA CHRISTMAS POCKET;Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;2,590.00;;0.20;5.00;5.00;5.00;BTE114CD;BTE114CD;SI;NO;BTE114;;;;SI;;;;
bcj022;JARRA TERMICA RAVENNA;Bazar > Cocina;Color;Gris;;;;;48,490.00;;0.20;5.00;5.00;5.00;BCJ022GR;BCJ022GR;SI;NO;BCJ022;;;;SI;;;;
bcj022;;;Color;Blanco;;;;;42,390.00;;0.20;5.00;5.00;5.00;BCJ022BL;BCJ022BL;;;;;;;;;;;
bcj021pl;JARRA TERMICA IVREA;Bazar > Cocina;;;;;;;45,490.00;39,990.00;0.20;5.00;5.00;5.00;BCJ021PL;BCJ021PL;SI;NO;BCJ021;;;;SI;;;;
bcv098az;PLATO DE POSTRE MARINE;Bazar > Comedor > Platos y Bowls;;;;;;;6,090.00;;0.20;5.00;5.00;5.00;BCV098AZ;BCV098AZ;SI;NO;BCV098;;;;SI;;;;
bct013mm;TABLA PRESTON LARGE;Bazar > Cocina;;;;;;;15,790.00;;0.20;5.00;5.00;5.00;BCT013MM;BCT013MM;SI;NO;BCT013;;;;SI;;;;
alf003bn;ALFOMBRA AMBERES;;;;;;;;64,890.00;44,990.00;0.20;5.00;5.00;5.00;ALF003BN;ALF003BN;SI;NO;ALF003;;;;SI;;;;
alf004bn;ALFOMBRA GANTE;;;;;;;;175,390.00;119,990.00;0.20;5.00;5.00;5.00;ALF004BN;ALF004BN;SI;NO;ALF004;;;;SI;;;;
alf003gb;ALFOMBRA AMBERES;;;;;;;;64,890.00;44,990.00;0.20;5.00;5.00;5.00;ALF003GB;ALF003GB;SI;NO;ALF003;;;;SI;;;;
alf001bn;ALFOMBRA BRUSELAS;;;;;;;;151,590.00;99,990.00;0.20;5.00;5.00;5.00;ALF001BN;ALF001BN;SI;NO;ALF001;;;;SI;;;;
bcv018bl;BOWL GIFU;Bazar > Comedor > Platos y Bowls;;;;;;;11,990.00;;0.20;5.00;5.00;5.00;BCV018BL;BCV018BL;SI;NO;BCV018;;;;SI;;;;
bcv021bl;PLATO PLAYO GIFU;Bazar > Comedor > Platos y Bowls;;;;;;;14,690.00;5,990.00;0.20;5.00;5.00;5.00;BCV021BL;BCV021BL;SI;NO;BCV021;;;;SI;;;;
bcv020bl;PLATO POSTRE GIFU;Bazar > Comedor > Platos y Bowls;;;;;;;11,190.00;4,990.00;0.20;5.00;5.00;5.00;BCV020BL;BCV020BL;SI;NO;BCV020;;;;SI;;;;
bcc040tr;VASO ALTO NAPA;Bazar > Comedor > Vasos y Copas;;;;;;;5,190.00;3,490.00;0.20;5.00;5.00;5.00;BCC040TR;BCC040TR;SI;NO;BCC040;;;;SI;;;;
bcc004an;VASO ALTO MALIBU;Textil > Mantas;;;;;;;8,990.00;4,990.00;0.20;5.00;5.00;5.00;BCC004AN;BCC004AN;SI;NO;BCC004;;;;SI;;;;
tma002bg;MANTA DINANT;Textil > Mantas;;;;;;;23,590.00;12,990.00;0.20;5.00;5.00;5.00;TMA002BG;TMA002BG;SI;NO;TMA002;;;;SI;;;;
